x,y
1042,355
1042,355
1042,354
1042,355
1042,355
1042,354
1042,354
1042,355
1042,355
1040,357
1040,358
1041,360
1044,360
1045,361
1045,363
1045,365
1045,367
1046,368
1047,369
1047,371
1047,371
1047,371
1047,372
1047,372
1047,373
1047,372
1047,372
1046,372
1047,372
1047,372
1047,372
1047,372
1047,372
1047,372
1047,372
1047,371
1047,372
1047,372
1047,372
1047,372
1047,372
1047,372
1046,371
1047,371
1047,371
1047,371
1047,371
1047,371
1047,372
1046,372
1047,371
1047,371
1046,371
1046,371
1047,371
1047,372
1047,372
1047,372
1047,372
1047,372
1046,372
1047,372
1046,372
1046,371
1047,371
1047,372
1047,371
1047,372
1047,371
1047,371
1046,371
1047,371
1047,372
1047,372
1047,371
1047,372
1047,372
1047,372
1047,371
1047,371
1047,371
1046,372
1046,371
1046,371
1047,372
1046,371
1046,372
1046,371
1047,372
1047,371
1047,372
1046,372
1047,372
1047,371
1046,371
1046,371
1047,371
1047,371
1046,372
1047,371
1047,371
1047,371
1047,370
1047,369
1047,371
1047,374
1048,377
1048,378
1049,379
1049,380
1049,381
1049,382
1049,382
1049,382
1049,383
1049,382
1049,383
1050,383
1049,383
1049,383
1050,383
1049,382
1049,383
1049,383
1049,382
1049,382
1049,383
1049,382
1049,383
1049,382
1049,383
1049,382
1049,382
1049,382
1049,382
1049,383
1049,382
1049,382
1049,382
1049,382
1049,383
1049,383
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,383
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,382
1049,381
1049,381
1050,381
1050,383
1050,387
1051,389
1051,390
1051,391
1051,391
1051,392
1051,393
1051,393
1051,394
1051,395
1051,395
1051,394
1051,394
1051,395
1051,394
1051,394
1051,394
1051,394
1051,394
1051,394
1051,394
1051,394
1051,393
1051,393
1051,393
1051,393
1051,394
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,394
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,394
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1050,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1051,393
1050,393
1051,393
1051,393
1051,393
1051,393
1050,393
1051,393
1051,393
1051,393
1050,393
1051,393
1051,393
1051,393
1051,393
1051,393
1050,393
1050,393
1051,393
1051,393
1049,393
1046,393
1046,395
1050,398
1053,401
1053,403
1051,406
1051,408
1052,411
1054,413
1054,414
1053,414
1053,417
1053,418
1054,419
1054,420
1054,421
1054,422
1054,423
1055,423
1055,423
1054,423
1055,423
1055,423
1054,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1054,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1054,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1054,423
1055,423
1055,423
1055,423
1054,423
1054,423
1055,423
1055,424
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1055,423
1053,423
1049,422
1045,423
1045,427
1049,431
1051,435
1050,438
1047,442
1047,443
1048,446
1049,450
1050,452
1049,454
1049,456
1049,458
1050,458
1049,460
1049,460
1050,461
1049,461
1050,461
1050,461
1050,461
1050,461
1050,461
1050,462
1050,462
1050,462
1050,462
1050,462
1050,462
1050,462
1050,462
1050,462
1050,462
1050,462
1050,462
1050,462
1050,462
1050,462
1051,462
1051,462
1050,463
1050,462
1050,463
1051,462
1051,463
1051,463
1051,463
1051,462
1051,462
1051,463
1051,462
1051,462
1051,463
1051,463
1050,463
1050,462
1050,463
1050,463
1050,463
1051,463
1051,463
1051,462
1050,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,462
1051,462
1051,463
1051,462
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,462
1051,462
1051,463
1051,463
1051,462
1051,463
1051,463
1051,462
1051,463
1051,463
1051,462
1051,463
1051,462
1051,463
1051,463
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,463
1051,462
1051,462
1051,462
1051,462
1051,463
1051,463
1051,463
1051,463
1051,463
